iteration,best_score,temperature,stagnated,bp_steps,bp_loss_before,bp_loss_after,bp_grad_norm_mean,bp_improved_particles,scope,strategy,week_start
16,3518703220.916353,0.3715742908341006,False,4,3532289823.496211,3527294665.1290865,194258115.68032885,24,upper,hpso,
17,3518703220.916353,0.34927983338405455,False,4,3532248425.8293934,3526422530.8873386,194279050.1429085,22,upper,hpso,
18,3518703220.916353,0.32832304338101126,False,4,3533072778.764906,3527547736.7479267,194048947.90038732,23,upper,hpso,
19,3518703220.916353,0.30862366077815057,False,4,3532768191.661087,3526559331.2127542,194380016.08507735,25,upper,hpso,
20,3518703220.916353,0.2901062411314615,False,4,3532776173.1898894,3526034464.0287237,193979263.28610998,27,upper,hpso,
21,3518703220.916353,0.27269986666357376,False,4,3531621132.982272,3526276862.477357,194340580.3584314,19,upper,hpso,
22,3518703220.916353,0.25633787466375935,False,4,3531648207.7714415,3526622853.958528,194956270.48867446,22,upper,hpso,
23,3518703220.916353,0.24095760218393378,True,4,3533821580.400994,3527516129.0214267,193786651.9501581,23,upper,hpso,
24,3518703220.916353,0.22650014605289773,True,4,3534407157.1459446,3527049343.7320557,196682926.7209232,25,upper,hpso,
25,3518703220.916353,0.21291013728972386,True,4,3535408224.9109626,3528311698.050839,191922541.20990562,25,upper,hpso,
26,3518703220.916353,0.20013552905234042,True,4,3535676401.3149295,3527584787.968729,193913848.8819571,26,upper,hpso,
27,3518703220.916353,0.18812739730919997,True,4,3536015388.7073913,3527781146.1667647,193645913.8961454,25,upper,hpso,
28,3518703220.916353,0.17683975347064798,True,4,3536632388.1492896,3527937794.343345,194042402.32991982,29,upper,hpso,
29,3518703220.916353,0.16622936826240908,True,4,3536597395.996211,3527721328.07424,193840933.73437345,25,upper,hpso,
30,3518703220.916353,0.15625560616666453,True,4,3536610323.217747,3527454162.692522,195598688.98767602,23,upper,hpso,
31,3518703220.916353,0.14688026979666466,True,4,3536658266.430881,3526469485.480927,195584877.8253941,23,upper,hpso,
32,3518703220.916353,0.13806745360886477,True,4,3535853562.338421,3527438274.2855496,196018623.1204445,27,upper,hpso,
33,3518693141.5710363,0.12978340639233288,True,4,3534474287.252922,3527675166.6416636,194361593.0124756,24,upper,hpso,
34,3518693141.5710363,0.12199640200879289,False,4,3532031440.5002384,3526925433.161294,194536195.9050751,20,upper,hpso,
35,3518693141.5710363,0.11467661788826532,False,4,3530289014.5064793,3525996886.7878437,194569825.29843262,20,upper,hpso,
36,3518693141.5710363,0.10779602081496939,False,4,3531071077.05459,3526505767.98659,194913745.1124655,24,upper,hpso,
37,3518693141.5710363,0.10132825956607122,False,4,3529345203.111875,3525265620.2607307,195393487.30223328,20,upper,hpso,
38,3518693141.5710363,0.09524856399210693,False,4,3529076161.354123,3525628507.3757153,194849855.83184618,16,upper,hpso,
39,3518693141.5710363,0.08953365015258051,False,4,3528211731.059219,3525323769.288841,193929166.60868052,20,upper,hpso,
40,3518693141.5710363,0.08416163114342567,False,4,3527861268.0109577,3524472649.1375194,194098234.36017483,17,upper,hpso,
0,-48775.02301978021,1.0,False,4,-38076.89113715365,-40264.91411981755,5475.269907796443,24,lower,hpso,2026-03-02
1,-52876.101499637385,0.93,False,4,-46451.959954987404,-48569.56096520572,5300.4574427665575,24,lower,hpso,2026-03-02
2,-58915.88045840423,0.8649000000000001,False,4,-52118.34117454655,-54194.59295124571,5196.952043987494,24,lower,hpso,2026-03-02
3,-64275.873064868065,0.8043570000000001,False,4,-58775.23148774435,-60842.50426900212,5176.284480793239,24,lower,hpso,2026-03-02
4,-72382.70349884461,0.7480520100000002,False,4,-65513.51499766421,-67573.43554495665,5155.111657204303,24,lower,hpso,2026-03-02
5,-80136.2241025445,0.6956883693000002,False,4,-73060.97345297682,-75098.37010369595,5097.323332851681,24,lower,hpso,2026-03-02
6,-88153.9819283717,0.6469901834490002,False,4,-81317.58955930581,-83338.9482502292,5056.1115738807475,24,lower,hpso,2026-03-02
7,-96981.51116959659,0.6017008706075703,False,4,-90212.62071617106,-92232.63072013829,5052.426182776274,24,lower,hpso,2026-03-02
8,-106656.18806129735,0.5595818096650403,False,4,-99798.86436260371,-101805.62107258072,5020.655469062743,24,lower,hpso,2026-03-02
9,-117491.03915453005,0.5204110829884876,False,4,-109559.76011393593,-111573.08632338399,5034.755760306538,24,lower,hpso,2026-03-02
10,-128313.04370327777,0.4839823071792934,False,4,-120560.35623568846,-122596.10421582102,5091.615989494973,24,lower,hpso,2026-03-02
11,-140043.825051932,0.45010354567674293,False,4,-132828.47013073158,-134846.45424530027,5046.482866717017,24,lower,hpso,2026-03-02
12,-152521.0516561086,0.41859629747937094,False,4,-144852.27604550737,-146865.77998441132,5035.916174821803,24,lower,hpso,2026-03-02
13,-163466.28356982637,0.38929455665581497,False,4,-157407.3623617814,-159411.6465653452,5015.067883923001,24,lower,hpso,2026-03-02
14,-174653.92672264948,0.36204393768990795,False,4,-168331.3553725513,-170312.0757122045,4956.112088075362,24,lower,hpso,2026-03-02
15,-185491.0485359129,0.3367008620516144,False,4,-178586.234526385,-180539.25230322732,4885.845026761701,24,lower,hpso,2026-03-02
16,-196098.93425426117,0.3131318017080014,False,4,-188917.8262596443,-190865.5949502082,4871.445798978268,24,lower,hpso,2026-03-02
17,-205858.01725687322,0.2912125755884413,False,4,-200515.87915286078,-202453.93291137382,4847.47948349758,24,lower,hpso,2026-03-02
18,-217076.21888316938,0.2708276952972505,False,4,-210857.76213016268,-212793.84468309992,4842.386323535338,24,lower,hpso,2026-03-02
19,-227142.42382228503,0.25186975662644295,False,4,-220808.07963881484,-222743.81365353512,4840.654936089596,24,lower,hpso,2026-03-02
20,-235818.47908316253,0.23423887366259194,False,4,-231117.27615378343,-233043.5407721133,4818.368810213846,24,lower,hpso,2026-03-02
21,-246723.55600443942,0.21784215250621053,False,4,-240503.86982843216,-242420.08645830327,4791.691515773528,24,lower,hpso,2026-03-02
22,-256353.77116853395,0.2025932018307758,False,4,-250814.44026984117,-252713.00676942445,4747.623664498096,24,lower,hpso,2026-03-02
23,-266972.3503316948,0.18841167770262152,False,4,-261178.7224155072,-263075.42161840026,4743.059938553039,24,lower,hpso,2026-03-02
24,-278126.47390059644,0.175222860263438,False,4,-271696.00273407274,-273585.77313691686,4727.207669891412,24,lower,hpso,2026-03-02
25,-288405.3207722572,0.16295726004499736,False,4,-282810.92889854754,-284687.61244054325,4693.101585006603,24,lower,hpso,2026-03-02
26,-300634.0387439969,0.15155025184184756,False,4,-293545.7718501558,-295423.2491539316,4695.913014678509,24,lower,hpso,2026-03-02
27,-312389.87491803145,0.14094173421291822,False,4,-305800.068907643,-307680.3021840661,4701.452402581575,24,lower,hpso,2026-03-02
28,-325763.9859507365,0.13107581281801395,False,4,-318078.6548768497,-319948.1565226144,4675.087361485994,24,lower,hpso,2026-03-02
29,-339387.35883615445,0.121900505920753,False,4,-331033.73172683455,-332890.9279610807,4644.056910214018,24,lower,hpso,2026-03-02
30,-350497.63522022794,0.11336747050630029,False,4,-344870.4045592698,-346726.2278215182,4639.907289958856,24,lower,hpso,2026-03-02
31,-363626.2620188675,0.10543174757085927,False,4,-358083.56179630815,-359939.37380125356,4640.396526523483,24,lower,hpso,2026-03-02
32,-377614.2894312612,0.09805152524089912,False,4,-369987.3973636462,-371839.09240943147,4629.864281013519,24,lower,hpso,2026-03-02
33,-390260.4389991786,0.09118791847403619,False,4,-383203.4355785387,-385050.6349900152,4618.896341062296,24,lower,hpso,2026-03-02
34,-402243.55345746566,0.08480476418085367,False,4,-396373.16573603835,-398220.19194717694,4618.391671504801,24,lower,hpso,2026-03-02
35,-414126.46497345605,0.07886843068819391,False,4,-409239.1657576548,-411078.1066395183,4599.692984348323,24,lower,hpso,2026-03-02
0,40626199257.6781,1.0,False,4,48380728885.74783,48380556329.956696,431389.5778389541,24,lower,hpso,2026-03-09
1,38938026772.309135,0.93,False,4,45614309066.043724,45614141834.028145,418080.13893790613,24,lower,hpso,2026-03-09
2,38938026772.309135,0.8649000000000001,False,4,94586375357.68538,94586134150.43385,603018.2288298995,24,lower,hpso,2026-03-09
