时间,dynamic_lock_only,fixed_lock,ppo,rule_only
2026-03-06 06:30:00,1083976121.180208,1082452492.712508,1092195608.0533857,1273209556.997718
2026-03-06 06:45:00,1085803827.606973,1084285397.0202863,1093995273.5793252,1275028551.155648
2026-03-06 07:00:00,1087760333.5784352,1086247433.8569984,1095921942.306812,1277051541.5263765
2026-03-06 07:15:00,1090124158.6483703,1088572393.5353231,1098495433.6982517,1279851772.8049965
2026-03-06 07:30:00,1092483563.229402,1090890797.200696,1101076025.0680532,1282913736.0962358
2026-03-06 07:45:00,1095031786.2945528,1093396665.0688365,1103852740.8354719,1286176278.5121813
2026-03-06 08:00:00,1097767353.6647103,1096088097.0019,1106826404.7321289,1288849630.9446719
2026-03-06 08:15:00,1100403898.1030498,1098686050.6943839,1109671133.8662193,1291578881.3664382
2026-03-06 08:30:00,1103059974.6148922,1101303397.5153778,1112536144.6374836,1294307783.8864543
2026-03-06 08:45:00,1105692245.0639,1103897302.799813,1115375382.843577,1297010162.2304707
2026-03-06 09:00:00,1108253808.7468808,1106421166.6195414,1118140325.1964197,1299690388.6436894
2026-03-06 09:15:00,1110483902.7867947,1108651855.1939933,1120367211.9132,1301924308.4005644
2026-03-06 09:30:00,1112670423.5925791,1110838958.9178584,1122550588.0629127,1304114718.8799393
2026-03-06 09:45:00,1114821926.6394284,1112991035.5471876,1124698996.8162608,1306270162.9993143
2026-03-06 10:00:00,1116895236.6222916,1115064898.2665591,1126769324.9629538,1308346948.7808769
2026-03-06 10:15:00,1118801825.511419,1116994822.0914743,1128550029.3582828,1310131581.7111893
2026-03-06 10:30:00,1120699904.5129209,1118916131.8753817,1130322785.7400756,1311908278.1902518
2026-03-06 10:45:00,1122596487.2704446,1120835927.1026285,1132094144.6689389,1313683579.2493143
2026-03-06 11:00:00,1124482502.804873,1122745025.7734587,1133855634.0864882,1315448787.8452518
2026-03-06 11:15:00,1126329696.141518,1124620410.9560988,1135550741.4566405,1317147047.2651894
2026-03-06 11:30:00,1128141331.098553,1126459695.0674992,1137213218.0944529,1318812736.1981268
2026-03-06 11:45:00,1129886363.1839345,1128231359.8148935,1138814575.51081,1320417418.7525642
2026-03-06 12:00:00,1131585519.4324095,1129956448.568823,1140373834.210314,1321976751.9094775
2026-03-06 12:15:00,1133753977.2513797,1132120019.5482357,1142568654.9612246,1323895172.8591158
2026-03-06 12:30:00,1135951271.3109238,1134312449.7847025,1144792187.786179,1325765655.8848183
2026-03-06 12:45:00,1138019413.359676,1136375902.837687,1146885625.463083,1327620199.4115186
2026-03-06 13:00:00,1140051801.1655061,1138403670.207479,1148942939.039317,1329998993.5294504
2026-03-06 13:15:00,1141758175.6125638,1140163169.2342126,1150362723.4189494,1331719940.146467
2026-03-06 13:30:00,1143404556.1478033,1141861677.044486,1151727894.025418,1333386383.7032068
2026-03-06 13:45:00,1144951915.4363666,1143459389.0744045,1153003616.4252183,1334932780.5134606
2026-03-06 14:00:00,1146518935.6498418,1145076154.7319946,1154302275.923748,1337702842.3400016
2026-03-06 14:15:00,1147814027.9760525,1146457377.1641831,1155132723.9547927,1340307452.2754395
2026-03-06 14:30:00,1149151659.6144812,1147880716.1720803,1156007991.825928,1342840885.18447
2026-03-06 14:45:00,1150476401.9872475,1149292463.6170874,1156863369.741187,1345418811.9740922
2026-03-06 15:00:00,1151826323.0905294,1150731292.1069016,1157733664.0115352,1347549410.5678647
2026-03-06 15:15:00,1153544088.6128783,1152474911.439836,1159311956.5184903,1350436880.1203768
2026-03-06 15:30:00,1155339147.5967922,1154296949.2210848,1160961473.5443406,1353389846.0771406
2026-03-06 15:45:00,1157246440.5679784,1156232022.9603581,1162718898.1824906,1356467905.6768084
2026-03-06 16:00:00,1159238568.7350917,1158252788.1664138,1164556538.7099564,1359349329.7414186
2026-03-06 16:15:00,1161140552.4025908,1160213795.6726837,1166140107.699425,1361899874.5429864
2026-03-06 16:30:00,1163081356.030837,1162215543.4689918,1167752137.0890691,1364478666.5649338
2026-03-06 16:45:00,1165082078.5162885,1164279589.7812808,1169411247.840109,1367104275.7773485
2026-03-06 17:00:00,1167213165.9293914,1166476341.9413655,1171188095.0054812,1368915890.556252
2026-03-06 17:15:00,1169690067.4994547,1168955932.991817,1173650487.6915128,1371417950.596501
2026-03-06 17:30:00,1172271106.341168,1171539734.8776271,1176216620.7965803,1374023742.8893242
2026-03-06 17:45:00,1174899014.050793,1174170453.0953588,1178829366.7164512,1376676142.727871
2026-03-06 18:00:00,1177630361.5111635,1176904681.2136605,1181545173.9512665,1379121329.8503513
2026-03-06 18:15:00,1180614974.7160313,1179850426.8359623,1184739465.2971427,1382072794.9595962
2026-03-06 18:30:00,1183653483.192506,1182849718.1249545,1187989537.9210124,1385023641.57147
2026-03-06 18:45:00,1186713810.0466077,1185870260.2321277,1191264490.7236724,1388039160.970585
2026-03-06 19:00:00,1189823820.6039128,1188940336.8387325,1194589932.136027,1391037566.5328693
2026-03-06 19:15:00,1193022319.8140795,1192079450.468997,1198108797.5015981,1394292599.9189363
2026-03-06 19:30:00,1196164848.2477596,1195163147.0546434,1201568704.8848627,1397543637.3342497
2026-03-06 19:45:00,1199336466.061355,1198275645.3391955,1205059253.5948164,1400796739.9687996
2026-03-06 20:00:00,1202445155.1657188,1201325831.3738227,1208483547.9953094,1404039645.546345
2026-03-06 20:15:00,1205581621.8017063,1204398034.4735932,1211966695.796395,1407342774.5199835
2026-03-06 20:30:00,1208623506.9691873,1207376284.017569,1215351874.7412996,1410677723.991715
2026-03-06 20:45:00,1211680326.7938197,1210369570.4923577,1218751436.609757,1413987516.375508
2026-03-06 21:00:00,1214697203.9225605,1213323599.2669404,1222107360.4503136,1417650922.1094015
2026-03-06 21:15:00,1217520882.2850564,1216114126.1554928,1225109880.3812642,1420962284.4170682
2026-03-06 21:30:00,1220292775.8804338,1218853334.8241143,1228058098.6726656,1424219293.2928007
2026-03-06 21:45:00,1223011394.3394027,1221539797.0252872,1230950189.828192,1427420116.3440044
2026-03-06 22:00:00,1225645951.7993915,1224143046.3798401,1233753644.4748032,1431233662.8209665
2026-03-06 22:15:00,1228000923.8332508,1226503886.5244443,1236076959.9334147,1434496448.745012
2026-03-06 22:30:00,1230306231.4515586,1228814922.9453425,1238351362.499284,1437697980.4249082
2026-03-06 22:45:00,1232553212.0017042,1231067481.7079258,1240568250.3825636,1440859753.7564201
2026-03-06 23:00:00,1234760987.7588575,1233280713.0470989,1242746595.0246198,1444003701.176881
2026-03-06 23:15:00,1236850277.2223887,1235383014.0484095,1244765691.415336,1446897608.3962958
2026-03-06 23:30:00,1238880765.7439072,1237426071.5053537,1246728374.5617707,1449712226.3122728
2026-03-06 23:45:00,1240872727.3543744,1239430047.1286795,1248655524.4264085,1452392237.4159248
2026-03-07 00:00:00,1242234899.811498,1240890215.8178,1249489038.6446006,1453313954.3359501
2026-03-07 00:15:00,1244709799.6607618,1243338910.9608047,1252105304.4788673,1456329525.5415623
2026-03-07 00:30:00,1247137200.8871326,1245740558.2897136,1254671639.7213764,1459307594.729165
