particle_index,score,weeks_evaluated,unique_weeks_evaluated
39,1494498674.5525024,96,13
40,1489394120.8803766,96,13
41,1493469122.5700386,96,13
42,1495836005.2089424,96,13
43,1489412667.5139477,96,13
44,1487432273.5978954,96,13
45,1488317955.8268788,96,13
46,1492212912.764944,96,13
47,1500571769.8457215,96,13
0,1494734847.3825119,96,13
1,1485942745.613513,96,13
2,1492882003.7153938,96,13
3,1500594144.0419166,96,13
4,1491323908.4406345,96,13
5,1498268567.6376116,96,13
6,1490512318.7978783,96,13
7,1493293519.4718075,96,13
8,1492339634.0972526,96,13
9,1488535068.3714364,96,13
10,1499909522.4664767,96,13
11,1488183216.090113,96,13
12,1486909928.5758731,96,13
13,1493682247.9930544,96,13
14,1490714021.397088,96,13
15,1488147390.9126875,96,13
16,1488221453.2821057,96,13
17,1485193050.6447487,96,13
18,1491600059.0163403,96,13
19,1489405103.0305946,96,13
20,1486381485.5776484,96,13
21,1488957527.6391418,96,13
22,1494252114.435603,96,13
23,1486363183.025795,96,13
24,1496435626.0373602,96,13
25,1487928625.8829927,96,13
26,1497470095.3703594,96,13
27,1510893456.5567524,96,13
28,1494019932.8849099,96,13
29,1668441013.098632,96,13
30,1489231570.3811328,96,13
31,1495161572.818738,96,13
32,1496553782.0651274,96,13
33,1487937298.6220915,96,13
34,1494495297.6572094,96,13
35,1486706693.0276585,96,13
36,1492116664.3469508,96,13
37,1518151761.5695956,96,13
38,1488629136.9003067,96,13
39,1487952618.656562,96,13
40,1487270973.1119869,96,13
41,1490472752.0628242,96,13
42,1494728701.7689447,96,13
43,1489057961.6762333,96,13
44,1490162689.885823,96,13
45,1487766384.7612936,96,13
46,1501510660.2029698,96,13
47,1488042577.4388454,96,13
0,1487399324.8019435,96,13
1,1486631684.0017262,96,13
2,1484484906.3157604,96,13
3,1494679296.5166771,96,13
4,1488800488.4300263,96,13
5,1505129125.6443508,96,13
6,1523470265.048108,96,13
7,1490181882.6129827,96,13
8,1485752523.820176,96,13
9,1487494095.4880407,96,13
10,1488721957.7211373,96,13
11,1484324231.6170006,96,13
12,1495358981.4681742,96,13
13,1484641932.4208038,96,13
14,1485167936.7918694,96,13
15,1486681434.5529206,96,13
16,1486958431.0118458,96,13
17,1538519395.8383427,96,13
18,1486673924.3776257,96,13
19,1485656559.0435574,96,13
20,1484164450.2529697,96,13
21,1486231214.3520844,96,13
22,1484813185.8312156,96,13
23,1484682597.839225,96,13
24,1487364195.9351642,96,13
25,1489143311.7067573,96,13
26,1497390293.1793072,96,13
27,1503857823.567996,96,13
28,1487371081.4560874,96,13
29,1636121147.904483,96,13
30,1486620544.4316013,96,13
31,1573550090.6025038,96,13
32,1493937713.0435288,96,13
33,1493535698.304497,96,13
34,1516566389.6833713,96,13
35,1528000013.610492,96,13
36,1523110487.7883427,96,13
