hour,省调负荷_日前,新能源负荷-总加_日前,新能源负荷-光伏_日前,新能源负荷-风电_日前,联络线总加_日前,非市场化机组出力_日前,水电出力_日前,全网总出力_日前,全网统一出清价格_日前,省调负荷_日内,新能源负荷-总加_日内,新能源负荷-光伏_日内,新能源负荷-风电_日内,联络线总加_日内,非市场化机组出力_日内,水电出力_日内,全网总出力_日内,全网统一出清价格_日内,net_load_da,net_load_id,price_spread,load_dev,wind_dev,solar_dev,renewable_ratio_da,renewable_ratio_id,renewable_dev,net_load_da_mwh,net_load_id_mwh,week_start,week_end,hour_index_in_week,q_lt_hourly,spot_need,q_base,bandwidth_mwh,delta_q_target,delta_q_after_smoothing,smoothing_mode,lower_band,upper_band,q_spot_raw,q_spot_band_clipped,q_spot,delta_q,a_t,signal_spread,signal_load_dev,signal_renewable_dev,signal_composite,clipped_by_bound,clipped_non_negative,soft_clipped,hedge_error_abs,strategy
2026-03-04 19:00:00,31391.25,701.0,18.75,682.25,8161.0,11072.5,9056.5,23230.25,464.0785,30669.25,591.435,0.0,591.435,8182.8375,11920.01,8777.115,22486.275,465.88924999999995,30690.25,30077.815,1.8107499999999561,-612.4350000000004,-90.815,-18.75,0.022331950924771797,0.01928612705744176,-109.565,7672.5625,7519.45375,2026-03-02,2026-03-08 23:00:00,67,4054.956338351135,26635.293661648866,26635.293661648866,2486.69794777947,-2457.7268653295437,-2457.7268653295437,causal_param_policy,24148.595713869396,29121.991609428336,24177.566796319323,24177.566796319323,24177.566796319323,-2457.726865329543,-0.9883495772070763,0.003784999999999883,-0.9337699999999995,-0.20648000000000002,-0.37882166666666656,0,0,0,1845.291865329542,hpso_param_policy
2026-03-04 20:00:00,30712.0,795.75,0.0,795.75,8132.75,10940.84,8943.5,22579.25,465.8915,31100.25,515.71,0.0,515.71,8236.64,11595.22,8891.4575,22863.55,474.39300000000003,29916.25,30584.54,8.501499999999993,668.29,-280.03999999999996,0.0,0.02592222163291859,0.01658157414760306,-280.03999999999996,7479.0625,7646.135,2026-03-02,2026-03-08 23:00:00,68,3962.8247316481684,25953.42526835183,25953.42526835183,2423.038025129214,-2369.862758040944,-2369.862758040944,causal_param_policy,23530.387243222616,28376.463293481047,23583.562510310887,23583.562510310887,23583.562510310887,-2369.8627580409448,-0.9780542993808636,0.01810749999999956,-0.6124350000000004,-0.109565,-0.2346308333333336,0,0,0,3038.1527580409456,hpso_param_policy
2026-03-04 21:00:00,28988.75,846.25,0.0,846.25,7853.75,10850.3225,8852.75,21135.0,464.98225,30426.5,546.9875,0.0,546.9875,8084.4475,10448.7575,8236.0525,22341.975,477.9325,28142.5,29879.5125,12.950249999999997,1737.0125000000007,-299.2625,0.0,0.0292095662995668,0.0180164630628901,-299.2625,7035.625,7469.878125,2026-03-02,2026-03-08 23:00:00,69,3785.584224621229,24356.91577537877,24356.91577537877,2273.986284599585,-1949.8627580409438,-1949.8627580409438,causal_param_policy,22082.929490779185,26630.902059978354,22407.053017337825,22407.053017337825,22407.053017337825,-1949.8627580409448,-0.8574646079645492,0.08501499999999992,0.6682899999999999,-0.28003999999999996,0.15775499999999998,0,0,0,3686.8752580409455,hpso_param_policy
2026-03-04 22:00:00,26386.0,879.5,0.0,879.5,7046.25,9112.7425,7134.25,19339.75,465.4155,27257.75,795.1800000000001,0.0,795.1800000000001,6973.7125,8640.74,6481.145,20284.15,472.557,25506.5,26462.57,7.1414999999999935,956.0699999999997,-84.32,0.0,0.03336593143718683,0.029276279649204016,-84.32,6376.625,6615.6425,2026-03-02,2026-03-08 23:00:00,70,3339.6306701032067,22166.869329896792,22166.869329896792,2069.5213340455307,-1529.8627580409438,-1529.8627580409438,causal_param_policy,20097.34799585126,24236.390663942322,20637.006571855847,20637.006571855847,20637.006571855847,-1529.8627580409448,-0.7392350747360243,0.12950249999999996,1.0,-0.2992625,0.2767466666666667,0,0,0,2485.9327580409445,hpso_param_policy
2026-03-04 23:00:00,23671.0,876.25,0.0,876.25,6502.75,7095.035,5133.5,17168.25,462.42224999999996,23701.25,905.2925,0.0,905.2925,6498.605,7010.4675,4859.1125,17202.775,462.69174999999996,22794.75,22795.9575,0.26949999999999363,1.207500000001346,29.042500000000018,0.0,0.03703874972392972,0.038373195069801025,29.042500000000018,5698.6875,5698.989375,2026-03-02,2026-03-08 23:00:00,71,2671.5699553429404,20123.18004465706,20123.18004465706,1878.7204359566174,-1109.8627580409438,-1109.8627580409438,causal_param_policy,18244.459608700443,22001.900480613676,19013.317286616115,19013.317286616115,19013.317286616115,-1109.8627580409448,-0.590754609786218,0.07141499999999994,0.9560699999999998,-0.08431999999999999,0.31438833333333327,0,0,0,1111.0702580409452,hpso_param_policy
2026-03-05 00:00:00,24009.25,1492.25,0.0,1492.25,6714.25,6696.3475,4581.25,17295.0,490.80225,23811.5,1628.0225,0.0,1628.0225,6715.7425,7456.3325,5346.915,17095.8,484.984,22517.0,22183.4775,-5.81825000000002,-333.52250000000004,135.77249999999992,0.0,0.06498329191973551,0.07081129315177717,135.77249999999992,5629.25,5545.869375,2026-03-02,2026-03-08 23:00:00,72,2134.6178710670492,20382.38212893295,20382.38212893295,1902.9198046295107,-1529.8627580409438,-1529.8627580409438,causal_param_policy,18479.46232430344,22285.30193356246,18852.519370892005,18852.519370892005,18852.519370892005,-1529.8627580409448,-0.803955455358142,0.002694999999999936,0.001207500000001346,0.02904250000000002,0.0109816666666671,0,0,0,1196.3402580409456,hpso_param_policy
2026-03-05 01:00:00,21908.0,651.0,0.0,651.0,6384.75,5767.9675,3880.25,15523.25,498.3245,22077.75,838.5,0.0,838.5,6464.172500000001,7199.96,5111.23,15613.55,491.36275,21257.0,21239.25,-6.961750000000009,-17.75000000000091,187.5,0.0,0.02972747059282588,0.037972838876289085,187.5,5314.25,5309.8125,2026-03-02,2026-03-08 23:00:00,73,1962.24878503226,19294.75121496774,19294.75121496774,1801.3774827743152,-1752.1926185323066,-1752.1926185323066,causal_param_policy,17493.373732193424,21096.128697742053,17542.558596435432,17542.558596435432,17542.558596435432,-1752.1926185323064,-0.972695970326964,-0.058182500000000206,-0.33352250000000006,0.13577249999999993,-0.08531083333333345,0,0,0,1734.4426185323064,hpso_param_policy
2026-03-05 02:00:00,20132.75,628.25,0.0,628.25,5791.75,4976.875,3085.25,14341.0,488.27875,20481.5,909.4275,0.0,909.4275,5932.305,5958.0825,4029.09,14549.3,486.7575,19504.5,19572.072500000002,-1.521250000000009,67.57250000000022,281.1775,0.0,0.031218523578317163,0.04445429795278926,281.1775,4876.125,4893.0181250000005,2026-03-02,2026-03-08 23:00:00,74,1795.0769541535078,17709.42304584649,17709.42304584649,1653.3696419451728,-1569.062392337313,-1569.062392337313,causal_param_policy,16056.053403901318,19362.792687791665,16140.360653509179,16140.360653509179,16140.360653509179,-1569.0623923373132,-0.9490088317403282,-0.0696175000000001,-0.01775000000000091,0.1875,0.033377499999999664,0,0,0,1636.6348923373153,hpso_param_policy
2026-03-05 03:00:00,18994.0,644.5,0.0,644.5,5744.0,4955.5825,3063.0,13250.0,471.24899999999997,19525.25,871.2825,0.0,871.2825,5898.6825,5638.775,3676.2174999999997,13626.474999999999,474.91125,18349.5,18653.9675,3.6622500000000002,304.46750000000065,226.78250000000003,0.0,0.033941013857635316,0.04458543429822748,226.78250000000003,4587.375,4663.491875,2026-03-02,2026-03-08 23:00:00,75,1700.4111277773704,16649.08887222263,16649.08887222263,1554.3757713685768,-1446.3871452718279,-1446.3871452718279,causal_param_policy,15094.713100854053,18203.464643591207,15202.701726950801,15202.701726950801,15202.701726950801,-1446.3871452718286,-0.9305260490507595,-0.01521250000000009,0.06757250000000022,0.2811775,0.11117916666666672,0,0,0,1750.8546452718274,hpso_param_policy
2026-03-05 04:00:00,18357.5,689.75,0.0,689.75,5744.0,4919.4,3025.75,12613.5,469.292,18949.75,769.225,0.0,769.225,5714.76,5235.125,3161.4075,13234.975,481.22125,17667.75,18180.525,11.929250000000025,512.7750000000005,79.475,0.0,0.03757901005665827,0.0405933031972062,79.475,4416.9375,4545.13125,2026-03-02,2026-03-08 23:00:00,76,1656.2826367388273,16011.467363261172,16011.467363261172,1494.8467825788828,-1311.8521870821057,-1311.8521870821057,causal_param_policy,14516.620580682289,17506.314145840053,14699.615176179066,14699.615176179066,14699.615176179066,-1311.852187082106,-0.8775830422024404,0.0366225,0.30446750000000067,0.22678250000000003,0.18929083333333355,0,0,0,1824.6271870821092,hpso_param_policy
